2025-01-31 19:06:10,036 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/12 PM/DJI_0718-2.MP4
2025-01-31 19:06:25,094 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/6 AM/DJI_0688 3.MP4
2025-01-31 19:06:31,799 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0746-1.MP4
2025-01-31 19:06:52,174 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0724-1.MP4
2025-01-31 19:07:14,135 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0726-1.MP4
2025-01-31 19:07:21,861 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0727-1.MP4
2025-01-31 19:07:31,065 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0728-1.MP4
2025-01-31 19:07:41,627 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0745-1.MP4
2025-01-31 19:07:53,390 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0747-1.MP4
2025-01-31 19:07:57,566 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0760-2.MP4
2025-01-31 19:08:20,268 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0765-1.MP4
2025-01-31 19:08:35,506 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0766-1.MP4
2025-01-31 19:08:51,039 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0613-1.MP4
2025-01-31 19:09:01,693 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0617-1.MP4
2025-01-31 19:09:12,545 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0631-1.MP4
2025-01-31 19:09:24,851 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0638-1.MP4
2025-01-31 19:09:36,600 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/5 PM/DJI_0642-1.MP4
2025-01-31 19:09:48,322 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/10 AM/DJI_0579.MP4
2025-01-31 19:09:56,307 - WARNING - Large file found, processing: /Volumes/BigBoy/portugal trip 2025/1-18-2025/10 AM/DJI_0592.MP4
